SCOPCalc;SCOPMeas
3.2981260647359454;2.750136474441631
3.3083475298126066;2.9290203488098485
3.3798977853492334;3.4705721102713487
3.6660988074957412;3.248657609156023
3.7325383304940374;3.369621024593635
3.7478705281090288;3.2004468361459617
3.839863713798978;3.5293243573936204
3.9727427597955707;2.847908646832381
4.008517887563885;3.2105353562924126
4.034071550255536;3.1960737714947243
4.120954003407155;3.573285598652197
4.2998296422487225;2.9354522951236266
4.325383304940376;2.9838360141933413
4.330494037478705;3.9410265701619807
4.3407155025553665;3.196567903093734
4.3816013628620105;2.8437332348207476
4.437819420783645;2.988851449923292
4.540034071550256;2.9696791438817094
4.632027257240205;3.960849482808926
4.698466780238501;3.4388570971415664