Time,radCon.Q_flow,radCon.vol[1].T,sou.T,radCon.vol[5].T,sou.T_in
5486.4,-2659.828,309.10672,328.15,305.01434,310.334
5508,-2628.2266,308.9173,328.15,304.87354,310.13
5529.6,-2596.6257,308.72787,328.15,304.73276,309.926
5551.2,-2565.0251,308.53845,328.15,304.59195,309.722
5572.8,-2533.425,308.34906,328.15,304.45114,309.518
5594.4,-2501.825,308.15964,328.15,304.31036,309.314
5616,-2470.2253,307.9702,328.15,304.16956,309.11
5637.6,-2438.6262,307.7808,328.15,304.02875,308.906
5659.2,-2407.027,307.59137,328.15,303.88794,308.702
5680.8,-2375.4285,307.40195,328.15,303.74713,308.498
5702.4,-2343.8303,307.21255,328.15,303.60635,308.294
5724,-2312.2324,307.02313,328.15,303.46555,308.09
5745.6,-2280.6348,306.8337,328.15,303.32474,307.886
5767.2,-2249.0374,306.6443,328.15,303.18393,307.682
5788.8,-2217.4404,306.45486,328.15,303.04312,307.478
5810.4,-2185.844,306.26544,328.15,302.9023,307.274
5832,-2154.2478,306.07602,328.15,302.7615,307.07
5853.6,-2122.6519,305.8866,328.15,302.6207,306.866
5875.2,-2091.0564,305.69717,328.15,302.4799,306.662
5896.8,-2059.4614,305.50778,328.15,302.33908,306.458
5918.4,-2027.8667,305.31836,328.15,302.19827,306.254
5940,-1996.2725,305.12894,328.15,302.05746,306.05
5961.6,-1964.6786,304.9395,328.15,301.91666,305.846
5983.2,-1933.0851,304.7501,328.15,301.77582,305.642
6004.8,-1901.492,304.56067,328.15,301.635,305.438
6026.4,-1869.8993,304.37125,328.15,301.4942,305.234
6048,-1838.3071,304.18182,328.15,301.3534,305.03
6069.6,-1806.7153,303.9924,328.15,301.21255,304.826
6091.2,-1775.1239,303.80298,328.15,301.07175,304.622
6112.8,-1743.533,303.61356,328.15,300.93094,304.418
6134.4,-1711.9425,303.42413,328.15,300.7901,304.214
6156,-1680.3525,303.2347,328.15,300.6493,304.01
6177.6,-1648.763,303.0453,328.15,300.50848,303.806
6199.2,-1617.174,302.85587,328.15,300.36765,303.602
6220.8,-1585.5854,302.66644,328.15,300.22684,303.398
6242.4,-1553.9973,302.47702,328.15,300.086,303.194
6264,-1522.4098,302.2876,328.15,299.9452,302.99
6285.6,-1490.8228,302.09818,328.15,299.80435,302.786
6307.2,-1459.2363,301.90875,328.15,299.6635,302.582
6328.8,-1427.6503,301.71933,328.15,299.5227,302.378
6350.4,-1396.065,301.52988,328.15,299.38187,302.174
6372,-1364.4801,301.34045,328.15,299.24103,301.97
6393.6,-1332.8959,301.15103,328.15,299.10022,301.766
6415.2,-1301.3123,300.9616,328.15,298.95938,301.562
6436.8,-1269.7292,300.7722,328.15,298.81854,301.358
6458.4,-1238.1467,300.58276,328.15,298.6777,301.154
6480,-1206.5651,300.39334,328.15,298.53687,300.95
6501.6,-1174.9839,300.20392,328.15,298.39603,300.746
6523.2,-1143.4034,300.01447,328.15,298.2552,300.542
6544.8,-1111.8237,299.82504,328.15,298.11435,300.338
6566.4,-1080.2448,299.63562,328.15,297.9735,300.134
6588,-1048.6664,299.4462,328.15,297.83267,299.93
6609.6,-1017.08887,299.25677,328.15,297.69183,299.726
6631.2,-985.5121,299.06732,328.15,297.55096,299.522
6652.8,-953.93616,298.8779,328.15,297.41013,299.318
6674.4,-922.361,298.68848,328.15,297.2693,299.114
6696,-890.78674,298.49902,328.15,297.12842,298.91
6717.6,-859.2134,298.3096,328.15,296.98758,298.706
6739.2,-827.6409,298.12018,328.15,296.8467,298.502
6760.8,-796.06946,297.93076,328.15,296.70587,298.298
6782.4,-764.49896,297.7413,328.15,296.565,298.094
6804,-732.9295,297.55188,328.15,296.42413,297.89
6825.6,-701.36115,297.36243,328.15,296.28326,297.686
6847.2,-669.7939,297.173,328.15,296.14243,297.482
6868.8,-638.22784,296.98358,328.15,296.00156,297.278
6890.4,-606.663,296.79413,328.15,295.8607,297.074
6912,-575.0995,296.6047,328.15,295.7198,296.87
6933.6,-543.53735,296.41525,328.15,295.57892,296.666
6955.2,-511.9767,296.22583,328.15,295.43805,296.462
6976.8,-480.41757,296.03638,328.15,295.29715,296.258
6998.4,-448.8601,295.84692,328.15,295.15628,296.054
7020,-417.3044,295.6575,328.15,295.01538,295.85
7041.6,-385.7506,295.46805,328.15,294.8745,295.646
7063.2,-354.19885,295.27863,328.15,294.7336,295.442
7084.8,-322.64935,295.08917,328.15,294.5927,295.238
7106.4,-291.1023,294.89972,328.15,294.45178,295.034
7128,-259.55795,294.71027,328.15,294.31088,294.83
7149.6,-228.0167,294.5208,328.15,294.16995,294.626
7171.2,-196.47891,294.33136,328.15,294.02905,294.422
7192.8,-164.94518,294.1419,328.15,293.88812,294.218
7200,-154.43495,294.07877,328.15,293.84113,294.15
7214.4,-154.43495,294.07877,328.15,293.84113,294.15
7236,-154.43495,294.07877,328.15,293.84113,294.15
7257.6,-154.43495,294.07877,328.15,293.84113,294.15
7279.2,-154.43495,294.07877,328.15,293.84113,294.15
7300.8,-154.43495,294.07877,328.15,293.84113,294.15
7322.4,-154.43495,294.07877,328.15,293.84113,294.15
7344,-154.43495,294.07877,328.15,293.84113,294.15
7365.6,-154.43495,294.07877,328.15,293.84113,294.15
7387.2,-154.43495,294.07877,328.15,293.84113,294.15
7408.8,-154.43495,294.07877,328.15,293.84113,294.15
7430.4,-154.43495,294.07877,328.15,293.84113,294.15
7452,-154.43495,294.07877,328.15,293.84113,294.15
7473.6,-154.43495,294.07877,328.15,293.84113,294.15
7495.2,-154.43495,294.07877,328.15,293.84113,294.15
7516.8,-154.43495,294.07877,328.15,293.84113,294.15
7538.4,-154.43495,294.07877,328.15,293.84113,294.15
7560,-154.43495,294.07877,328.15,293.84113,294.15
7581.6,-154.43495,294.07877,328.15,293.84113,294.15
7603.2,-154.43495,294.07877,328.15,293.84113,294.15
7624.8,-154.43495,294.07877,328.15,293.84113,294.15
7646.4,-154.43495,294.07877,328.15,293.84113,294.15
7668,-154.43495,294.07877,328.15,293.84113,294.15
7689.6,-154.43495,294.07877,328.15,293.84113,294.15
7711.2,-154.43495,294.07877,328.15,293.84113,294.15
7732.8,-154.43495,294.07877,328.15,293.84113,294.15
7754.4,-154.43495,294.07877,328.15,293.84113,294.15
7776,-154.43495,294.07877,328.15,293.84113,294.15
7797.6,-154.43495,294.07877,328.15,293.84113,294.15
7819.2,-154.43495,294.07877,328.15,293.84113,294.15
7840.8,-154.43495,294.07877,328.15,293.84113,294.15
7862.4,-154.43495,294.07877,328.15,293.84113,294.15
7884,-154.43495,294.07877,328.15,293.84113,294.15
7905.6,-154.43495,294.07877,328.15,293.84113,294.15
7927.2,-154.43495,294.07877,328.15,293.84113,294.15
7948.8,-154.43495,294.07877,328.15,293.84113,294.15
7970.4,-154.43495,294.07877,328.15,293.84113,294.15
7992,-154.43495,294.07877,328.15,293.84113,294.15
8013.6,-154.43495,294.07877,328.15,293.84113,294.15
8035.2,-154.43495,294.07877,328.15,293.84113,294.15
8056.8,-154.43495,294.07877,328.15,293.84113,294.15
8078.4,-154.43495,294.07877,328.15,293.84113,294.15
8100,-154.43495,294.07877,328.15,293.84113,294.15
8121.6,-154.43495,294.07877,328.15,293.84113,294.15
8143.2,-154.43495,294.07877,328.15,293.84113,294.15
8164.8,-154.43495,294.07877,328.15,293.84113,294.15
8186.4,-154.43495,294.07877,328.15,293.84113,294.15
8208,-154.43495,294.07877,328.15,293.84113,294.15
8229.6,-154.43495,294.07877,328.15,293.84113,294.15
8251.2,-154.43495,294.07877,328.15,293.84113,294.15
8272.8,-154.43495,294.07877,328.15,293.84113,294.15
8294.4,-154.43495,294.07877,328.15,293.84113,294.15
8316,-154.43495,294.07877,328.15,293.84113,294.15
8337.6,-154.43495,294.07877,328.15,293.84113,294.15
8359.2,-154.43495,294.07877,328.15,293.84113,294.15
8380.8,-154.43495,294.07877,328.15,293.84113,294.15
8402.4,-154.43495,294.07877,328.15,293.84113,294.15
8424,-154.43495,294.07877,328.15,293.84113,294.15
8445.6,-154.43495,294.07877,328.15,293.84113,294.15
8467.2,-154.43495,294.07877,328.15,293.84113,294.15
8488.8,-154.43495,294.07877,328.15,293.84113,294.15
8510.4,-154.43495,294.07877,328.15,293.84113,294.15
8532,-154.43495,294.07877,328.15,293.84113,294.15
8553.6,-154.43495,294.07877,328.15,293.84113,294.15
8575.2,-154.43495,294.07877,328.15,293.84113,294.15
8596.8,-154.43495,294.07877,328.15,293.84113,294.15
8618.4,-154.43495,294.07877,328.15,293.84113,294.15
8640,-154.43495,294.07877,328.15,293.84113,294.15
8661.6,-154.43495,294.07877,328.15,293.84113,294.15
8683.2,-154.43495,294.07877,328.15,293.84113,294.15
8704.8,-154.43495,294.07877,328.15,293.84113,294.15
8726.4,-154.43495,294.07877,328.15,293.84113,294.15
8748,-154.43495,294.07877,328.15,293.84113,294.15
8769.6,-154.43495,294.07877,328.15,293.84113,294.15
8791.2,-154.43495,294.07877,328.15,293.84113,294.15
8812.8,-154.43495,294.07877,328.15,293.84113,294.15
8834.4,-154.43495,294.07877,328.15,293.84113,294.15
8856,-154.43495,294.07877,328.15,293.84113,294.15
8877.6,-154.43495,294.07877,328.15,293.84113,294.15
8899.2,-154.43495,294.07877,328.15,293.84113,294.15
8920.8,-154.43495,294.07877,328.15,293.84113,294.15
8942.4,-154.43495,294.07877,328.15,293.84113,294.15
8964,-154.43495,294.07877,328.15,293.84113,294.15
8985.6,-154.43495,294.07877,328.15,293.84113,294.15
9007.2,-154.43495,294.07877,328.15,293.84113,294.15
9028.8,-154.43495,294.07877,328.15,293.84113,294.15
9050.4,-154.43495,294.07877,328.15,293.84113,294.15
9072,-154.43495,294.07877,328.15,293.84113,294.15
9093.6,-154.43495,294.07877,328.15,293.84113,294.15
9115.2,-154.43495,294.07877,328.15,293.84113,294.15
9136.8,-154.43495,294.07877,328.15,293.84113,294.15
9158.4,-154.43495,294.07877,328.15,293.84113,294.15
9180,-154.43495,294.07877,328.15,293.84113,294.15
9201.6,-154.43495,294.07877,328.15,293.84113,294.15
9223.2,-154.43495,294.07877,328.15,293.84113,294.15
9244.8,-154.43495,294.07877,328.15,293.84113,294.15
9266.4,-154.43495,294.07877,328.15,293.84113,294.15
9288,-154.43495,294.07877,328.15,293.84113,294.15
9309.6,-154.43495,294.07877,328.15,293.84113,294.15
9331.2,-154.43495,294.07877,328.15,293.84113,294.15
9352.8,-154.43495,294.07877,328.15,293.84113,294.15
9374.4,-154.43495,294.07877,328.15,293.84113,294.15
9396,-154.43495,294.07877,328.15,293.84113,294.15
9417.6,-154.43495,294.07877,328.15,293.84113,294.15
9439.2,-154.43495,294.07877,328.15,293.84113,294.15
9460.8,-154.43495,294.07877,328.15,293.84113,294.15
9482.4,-154.43495,294.07877,328.15,293.84113,294.15
9504,-154.43495,294.07877,328.15,293.84113,294.15
9525.6,-154.43495,294.07877,328.15,293.84113,294.15
9547.2,-154.43495,294.07877,328.15,293.84113,294.15
9568.8,-154.43495,294.07877,328.15,293.84113,294.15
9590.4,-154.43495,294.07877,328.15,293.84113,294.15
9612,-154.43495,294.07877,328.15,293.84113,294.15
9633.6,-154.43495,294.07877,328.15,293.84113,294.15
9655.2,-154.43495,294.07877,328.15,293.84113,294.15
9676.8,-154.43495,294.07877,328.15,293.84113,294.15
9698.4,-154.43495,294.07877,328.15,293.84113,294.15
9720,-154.43495,294.07877,328.15,293.84113,294.15
9741.6,-154.43495,294.07877,328.15,293.84113,294.15
9763.2,-154.43495,294.07877,328.15,293.84113,294.15
9784.8,-154.43495,294.07877,328.15,293.84113,294.15
9806.4,-154.43495,294.07877,328.15,293.84113,294.15
9828,-154.43495,294.07877,328.15,293.84113,294.15
9849.6,-154.43495,294.07877,328.15,293.84113,294.15
9871.2,-154.43495,294.07877,328.15,293.84113,294.15
9892.8,-154.43495,294.07877,328.15,293.84113,294.15
9914.4,-154.43495,294.07877,328.15,293.84113,294.15
9936,-154.43495,294.07877,328.15,293.84113,294.15
9957.6,-154.43495,294.07877,328.15,293.84113,294.15
9979.2,-154.43495,294.07877,328.15,293.84113,294.15
10000.8,-154.43495,294.07877,328.15,293.84113,294.15
10022.4,-154.43495,294.07877,328.15,293.84113,294.15
10044,-154.43495,294.07877,328.15,293.84113,294.15
10065.6,-154.43495,294.07877,328.15,293.84113,294.15
10087.2,-154.43495,294.07877,328.15,293.84113,294.15
10108.8,-154.43495,294.07877,328.15,293.84113,294.15
10130.4,-154.43495,294.07877,328.15,293.84113,294.15
10152,-154.43495,294.07877,328.15,293.84113,294.15
10173.6,-154.43495,294.07877,328.15,293.84113,294.15
10195.2,-154.43495,294.07877,328.15,293.84113,294.15
10216.8,-154.43495,294.07877,328.15,293.84113,294.15
10238.4,-154.43495,294.07877,328.15,293.84113,294.15
10260,-154.43495,294.07877,328.15,293.84113,294.15
10281.6,-154.43495,294.07877,328.15,293.84113,294.15
10303.2,-154.43495,294.07877,328.15,293.84113,294.15
10324.8,-154.43495,294.07877,328.15,293.84113,294.15
10346.4,-154.43495,294.07877,328.15,293.84113,294.15
10368,-154.43495,294.07877,328.15,293.84113,294.15
10389.6,-154.43495,294.07877,328.15,293.84113,294.15
10411.2,-154.43495,294.07877,328.15,293.84113,294.15
10432.8,-154.43495,294.07877,328.15,293.84113,294.15
10454.4,-154.43495,294.07877,328.15,293.84113,294.15
10476,-154.43495,294.07877,328.15,293.84113,294.15
10497.6,-154.43495,294.07877,328.15,293.84113,294.15
10519.2,-154.43495,294.07877,328.15,293.84113,294.15
10540.8,-154.43495,294.07877,328.15,293.84113,294.15
10562.4,-154.43495,294.07877,328.15,293.84113,294.15
10584,-154.43495,294.07877,328.15,293.84113,294.15
10605.6,-154.43495,294.07877,328.15,293.84113,294.15
10627.2,-154.43495,294.07877,328.15,293.84113,294.15
10648.8,-154.43495,294.07877,328.15,293.84113,294.15
10670.4,-154.43495,294.07877,328.15,293.84113,294.15
10692,-154.43495,294.07877,328.15,293.84113,294.15
10713.6,-154.43495,294.07877,328.15,293.84113,294.15
10735.2,-154.43495,294.07877,328.15,293.84113,294.15
10756.8,-154.43495,294.07877,328.15,293.84113,294.15
10778.4,-154.43495,294.07877,328.15,293.84113,294.15
10800,-154.43495,294.07877,328.15,293.84113,294.15
10800,-154.43495,294.07877,328.15,293.84113,294.15
