second_of_week,bedroom,livingroom,kitchen,hobby,wcstorage,corridor,children,corridor2,bath,children2
0,291.65,291.65,291.65,290.65,290.15,290.15,292.15,290.15,293.15,292.15
23400,292.65,293.15,293.65,290.65,290.15,291.15,293.65,291.15,296.15,293.65
28800,292.65,293.15,291.65,290.65,290.15,291.15,293.65,291.15,293.15,293.65
30600,291.65,291.65,291.65,290.65,290.15,291.15,292.15,291.15,293.15,292.15
61200,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
64800,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
68400,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
72000,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
75600,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
82800,291.65,291.65,291.65,290.65,290.15,290.15,292.15,290.15,293.15,292.15
109800,292.65,293.15,293.65,290.65,290.15,291.15,293.65,291.15,296.15,293.65
115200,292.65,293.15,291.65,290.65,290.15,291.15,293.65,291.15,293.15,293.65
117000,291.65,291.65,291.65,290.65,290.15,291.15,292.15,291.15,293.15,292.15
147600,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
151200,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
154800,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
158400,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
162000,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
169200,291.65,291.65,291.65,290.65,290.15,290.15,292.15,290.15,293.15,292.15
196200,292.65,293.15,293.65,290.65,290.15,291.15,293.65,291.15,296.15,293.65
201600,292.65,293.15,291.65,290.65,290.15,291.15,293.65,291.15,293.15,293.65
203400,291.65,291.65,291.65,290.65,290.15,291.15,292.15,291.15,293.15,292.15
234000,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
237600,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
241200,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
244800,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
248400,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
255600,291.65,291.65,291.65,290.65,290.15,290.15,292.15,290.15,293.15,292.15
282600,292.65,293.15,293.65,290.65,290.15,291.15,293.65,291.15,296.15,293.65
288000,292.65,293.15,291.65,290.65,290.15,291.15,293.65,291.15,293.15,293.65
289800,291.65,291.65,291.65,290.65,290.15,291.15,292.15,291.15,293.15,292.15
320400,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
324000,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
327600,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
331200,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
334800,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
342000,291.65,291.65,291.65,290.65,290.15,290.15,292.15,290.15,293.15,292.15
369000,292.65,293.15,293.65,290.65,290.15,291.15,293.65,291.15,296.15,293.65
374400,292.65,293.15,291.65,290.65,290.15,291.15,293.65,291.15,293.15,293.65
376200,291.65,291.65,291.65,290.65,290.15,291.15,292.15,291.15,293.15,292.15
406800,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
410400,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
414000,292.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
417600,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
421200,292.65,294.65,291.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
428400,291.65,291.65,291.65,290.65,290.15,290.15,292.15,290.15,293.15,292.15
432000,291.65,291.65,292.15,290.65,290.15,290.15,292.15,290.15,293.15,292.15
460800,292.65,291.65,293.65,290.65,290.15,291.15,292.15,291.15,296.15,292.15
464400,292.65,294.65,293.65,290.65,290.15,291.15,293.65,291.15,296.15,293.65
466200,292.65,294.65,292.15,290.65,290.15,291.15,293.65,291.15,296.15,293.65
468000,291.65,294.65,292.15,290.65,290.15,291.15,293.65,291.15,293.15,293.65
475200,291.65,294.65,293.65,290.65,290.15,291.15,293.65,291.15,293.15,293.65
482400,291.65,294.65,292.15,290.65,290.15,291.15,293.65,291.15,293.15,293.65
486000,291.65,294.65,292.15,292.65,290.15,291.15,293.65,291.15,293.15,293.65
496800,291.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
500400,291.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
504000,291.65,294.65,292.15,292.65,290.15,291.15,293.65,291.15,296.15,293.65
507600,291.65,294.65,292.15,292.65,290.15,291.15,293.65,291.15,293.15,293.65
509400,292.65,294.65,292.15,292.65,290.15,291.15,292.15,291.15,293.15,292.15
511200,292.65,294.65,292.15,290.65,290.15,291.15,292.15,291.15,293.15,292.15
514800,291.65,291.65,292.15,290.65,290.15,290.15,292.15,290.15,293.15,292.15
547200,292.65,291.65,293.65,290.65,290.15,291.15,292.15,291.15,296.15,292.15
550800,292.65,294.65,293.65,290.65,290.15,291.15,293.65,291.15,296.15,293.65
552600,292.65,294.65,292.15,290.65,290.15,291.15,293.65,291.15,296.15,293.65
554400,291.65,294.65,292.15,290.65,290.15,291.15,293.65,291.15,293.15,293.65
561600,291.65,294.65,293.65,290.65,290.15,291.15,293.65,291.15,293.15,293.65
568800,291.65,294.65,292.15,290.65,290.15,291.15,293.65,291.15,293.15,293.65
572400,291.65,294.65,292.15,292.65,290.15,291.15,293.65,291.15,293.15,293.65
583200,291.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,293.15,293.65
586800,291.65,294.65,293.65,292.65,290.15,291.15,293.65,291.15,296.15,293.65
590400,291.65,294.65,292.15,292.65,290.15,291.15,293.65,291.15,296.15,293.65
594000,291.65,294.65,292.15,292.65,290.15,291.15,293.65,291.15,293.15,293.65
595800,292.65,294.65,292.15,292.65,290.15,291.15,292.15,291.15,293.15,292.15
597600,292.65,294.65,292.15,290.65,290.15,291.15,292.15,291.15,293.15,292.15
601200,291.65,291.65,292.15,290.65,290.15,290.15,292.15,290.15,293.15,292.15
